cve,title,severity,published,cve_link
CVE-2024-1366,Happy Addons for Elementor <= 3.10.3 - Authenticated (Contributor+) Stored Cross-Site Scripting via Archive Title Widget,Medium,2024-03-06 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1366
CVE-2024-13808,Xpro Elementor Addons - Pro <= 1.4.9 - Authenticated (Contributor+) Remote Code Execution,High,2025-04-25 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-13808
CVE-2024-11583,"Borderless – Widgets, Elements, Templates and Toolkit for Elementor & Gutenberg <= 1.5.9 - Missing Authorization to Icon Font Deletion",Medium,2025-01-30 00:56:47,https://www.cve.org/CVERecord?id=CVE-2024-11583
CVE-2024-1507,Prime Slider – Addons For Elementor <= 3.13.3 - Authenticated (Contributor+) Stored Cross-Site Scripting via Rubix Widget,Medium,2024-03-12 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1507
CVE-2024-8910,HT Mega – Absolute Addons For Elementor <= 2.6.5 - Authenticated (Contributor+) Sensitive Information Exposure via template_id,Medium,2024-09-24 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-8910
CVE-2024-10316,Stratum – Elementor Widgets <= 1.4.4 - Authenticated (Contributor+) Sensitive Information Exposure via Elementor Templates,Medium,2024-11-20 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-10316
CVE-2025-49260,Aora <= 1.3.9 - Unauthenticated Local File Inclusion,Critical,2025-06-11 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-49260
CVE-2022-4705,Royal Elementor Addons <= 1.3.59 - Insufficient Access Control to Template Activation,Medium,2023-01-10 00:00:00,https://www.cve.org/CVERecord?id=CVE-2022-4705
CVE-2024-2385,Elementor Addons by Livemesh <= 8.4 - Authenticated (Contributor+) Limited Local File Inclusion via Widgets,High,2024-07-03 14:51:55,https://www.cve.org/CVERecord?id=CVE-2024-2385
CVE-2024-30496,Element Pack Elementor Addons <= 5.5.3 - Authenticated (Contributor+) SQL Injection,Critical,2024-03-28 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-30496
CVE-2023-2527,"Integration for Contact Form 7 and Zoho CRM, Bigin <= 1.2.3 - Authenticated (Admin+) SQL Injection",High,2023-05-22 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-2527
CVE-2025-31771,Team Members for Elementor Page Builder <= 1.0.4 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2025-04-01 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-31771
CVE-2025-3863,Post Carousel Slider for Elementor <= 1.6.0 - Authenticated (Subscriber+) Missing Authorization via process_wbelps_promo_form Function,Medium,2025-06-25 13:45:39,https://www.cve.org/CVERecord?id=CVE-2025-3863
CVE-2025-8462,RT Easy Builder <= 2.3 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2025-08-11 13:48:34,https://www.cve.org/CVERecord?id=CVE-2025-8462
CVE-2024-50453,The Pack Elementor addons <= 2.0.9 - Authenticated (Contributor+) Local File Inclusion,High,2024-10-24 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-50453
CVE-2025-26983,Recipe Card Blocks for Gutenberg & Elementor <= 3.4.3 - Insecure Direct Object Reference to Authenticated (Contributor+) Post Disclosure,Medium,2025-02-23 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-26983
CVE-2025-3076,Elementor Pro <= 3.29.0 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2025-06-09 16:22:07,https://www.cve.org/CVERecord?id=CVE-2025-3076
CVE-2024-2132,Ultimate Bootstrap Elements for Elementor <= 1.4.0 - Authenticated (Contributor+) Stored Cross-Site Scripting via Image Widget,Medium,2024-04-05 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2132
CVE-2023-35050,Elementor Pro <= 3.13.0 - Missing Authorization,Medium,2023-06-20 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-35050
CVE-2024-4107,Elementor Website Builder Pro <= 3.21.0 - Authenticated (Contributor+) DOM-Based Stored Cross-Site Scripting,Medium,2024-05-02 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-4107
CVE-2024-32727,RomethemeForm For Elementor <= 1.1.2 - Missing Authorization,Medium,2024-04-22 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-32727
CVE-2024-50501,Kata Plus <= 1.4.7 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-10-25 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-50501
CVE-2024-11230,Elementor Header & Footer Builder <= 1.6.46 - Authenticated (Contributor+) Stored Cross-Site Scripting via Page Title Widget,Medium,2024-12-22 16:21:51,https://www.cve.org/CVERecord?id=CVE-2024-11230
CVE-2024-2791,Metform Elementor Contact Form Builder <= 3.8.5 - Authenticated (Contributor+) Stored Cross-Site Scripting via Widgets,Medium,2024-04-01 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2791
CVE-2024-53764,Softtemplates For Elementor <= 1.0.8 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-11-28 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-53764
CVE-2024-9530,Qi Addons For Elementor <= 1.8.0 - Sensitive Information Exposure,Medium,2024-10-22 19:29:15,https://www.cve.org/CVERecord?id=CVE-2024-9530
CVE-2025-5284,"Master Addons – Elementor Addons with White Label, Free Widgets, Hover Effects, Conditions, & Animations <= 2.0.8.2 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2025-07-15 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-5284
CVE-2024-3074,Elementor ImageBox <= 1.2.8 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-04-29 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-3074
,Elementor Website Builder <= 2.7.5 - Stored Cross-Site Scripting,Medium,2020-01-29 00:00:00,
CVE-2025-46260,Sky Addons for Elementor <= 3.0.1 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2025-04-22 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-46260
CVE-2025-6252,Qi Addons For Elementor <= 1.9.1 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2025-06-27 16:10:13,https://www.cve.org/CVERecord?id=CVE-2025-6252
CVE-2024-4643,"Element Pack Elementor Addons (Header Footer, Template Library, Dynamic Grid & Carousel, Remote Arrows) <= 5.6.11 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-08-01 20:56:56,https://www.cve.org/CVERecord?id=CVE-2024-4643
CVE-2021-24265,Rife Elementor Extensions & Templates <= 1.1.5 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2021-04-13 00:00:00,https://www.cve.org/CVERecord?id=CVE-2021-24265
CVE-2024-2085,HT Mega – Absolute Addons For Elementor <= 2.4.6 - Authenticated (Contributor+) Stored Cross-Site Scripting via 'size',Medium,2024-04-16 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2085
CVE-2024-0376,Premium Addons for Elementor <= 4.10.16 - Authenticated(Contributor+) Stored Cross-Site Scripting via Wrapper Link Widget,Medium,2024-04-09 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-0376
CVE-2024-49702,myCred Elementor <= 1.2.6 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-10-21 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-49702
CVE-2024-34547,"Magical Addons For Elementor ( Header Footer Builder, Free Elementor Widgets, Elementor Templates Library ) <= 1.1.34 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-05-07 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-34547
CVE-2024-34421,BlogLentor <= 1.0.9 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-05-06 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-34421
CVE-2024-1242,Premium Addons for Elementor <= 4.10.18 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-02-14 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1242
CVE-2024-4896,WPB Elementor Addons <= 1.0.9 - Authenticated (Contributor+) Stored Cross-Site Scripting via url Parameter,Medium,2024-05-21 20:15:32,https://www.cve.org/CVERecord?id=CVE-2024-4896
CVE-2024-4788,Boostify Header Footer Builder for Elementor <= 1.3.5 - Missing Authorization to Page/Post Creation,Medium,2024-06-05 12:57:19,https://www.cve.org/CVERecord?id=CVE-2024-4788
CVE-2024-51787,ElementsReady Addons for Elementor <= 6.4.3 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-11-04 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-51787
CVE-2024-2492,PowerPack Addons for Elementor <= 2.7.18 - Authenticated (Contributor+) Stored Cross-Site Scripting via Twitter Tweet Widget,Medium,2024-03-29 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2492
CVE-2024-1974,HT Mega – Absolute Addons For Elementor <= 2.4.5 - Authenticated (Contributor+) Directory Traversal,High,2024-05-23 16:06:00,https://www.cve.org/CVERecord?id=CVE-2024-1974
,Elementor Addon Elements <= 1.11.7 - Cross-Site Request Forgery,Medium,2021-07-20 00:00:00,
CVE-2025-7046,Portfolio for Elementor & Image Gallery | PowerFolio <= 3.2.0 - Authenticated (Contributor+) Stored Cross-Site Scripting via Custom JS,Medium,2025-07-03 12:06:22,https://www.cve.org/CVERecord?id=CVE-2025-7046
CVE-2024-1069,Contact Form Entries <= 1.3.2 - Authenticated (Administrator+) Arbitrary File Upload,High,2024-01-30 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1069
CVE-2024-51856,Moose Elementor Kit <= 1.0.0 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-11-08 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-51856
CVE-2025-7384,"Database for Contact Form 7, WPforms, Elementor forms <= 1.4.3 - Unauthenticated PHP Object Injection to Arbitrary File Deletion",Critical,2025-08-12 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-7384
CVE-2024-1536,"Essential Addons for Elementor – Best Elementor Templates, Widgets, Kits & WooCommerce Builders <= 5.9.9 - Authenticated (Contributor+) Stored Cross-Site Scripting via Event Calendar",High,2024-03-11 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1536
CVE-2024-51836,Wezido <= 1.2 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-11-08 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-51836
CVE-2025-8081,Elementor <= 3.30.2 - Authenticated (Administrator+) Arbitrary File Read via Image Import,Medium,2025-08-11 17:08:06,https://www.cve.org/CVERecord?id=CVE-2025-8081
CVE-2024-10310,"Element Pack Elementor Addons (Header Footer, Template Library, Dynamic Grid & Carousel, Remote Arrows) <= 5.10.1 - Authenticated (Contributor+) DOM-Based Stored Cross-Site Scripting via Custom Gallery Widget",Medium,2024-11-01 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-10310
,Happy Elementor Addons <= 3.10.0 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-01-09 00:00:00,
CVE-2024-51575,Extender All In One For Elementor <= 1.0.3 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-10-31 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-51575
CVE-2024-49234,Plexx Elementor Extension <= 1.3.6 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-10-14 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-49234
CVE-2024-0910,Restrict for Elementor <= 1.0.7 - Protection Mechanism Bypass,Medium,2024-06-05 13:10:13,https://www.cve.org/CVERecord?id=CVE-2024-0910
CVE-2024-56252,Enter Addons <= 2.1.9 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-12-30 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-56252
CVE-2021-24204,Elementor Website Builder <= 3.1.3 - Authenticated (Contributor+) Stored Cross-Site Scripting via title_html_tag,Medium,2021-03-17 00:00:00,https://www.cve.org/CVERecord?id=CVE-2021-24204
CVE-2024-30525,Move Addons for Elementor <= 1.2.9 - Missing Authorization,Medium,2024-03-29 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-30525
CVE-2024-2922,Themesflat Addons For Elementor <= 2.1.2 - Authenticated (Contributor+) Stored Cross-Site Scripting via Widget Tags,Medium,2024-06-05 15:28:30,https://www.cve.org/CVERecord?id=CVE-2024-2922
CVE-2024-43281,Void Elementor Post Grid Addon for Elementor Page builder <= 2.3 - Authenticated (Contributor+) Local File Inclusion,High,2024-08-16 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-43281
CVE-2024-13216,HT Event – WordPress Event Manager Plugin for Elementor <= 1.4.7 - Authenticated (Contributor+) Sensitive Information Exposure via HT Event: Sponsor,Medium,2025-01-30 16:49:09,https://www.cve.org/CVERecord?id=CVE-2024-13216
CVE-2024-51674,Sastra Essential Addons for Elementor <= 1.0.5 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-11-01 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-51674
CVE-2024-8515,Themesflat Addons For Elementor <= 2.2.1 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-09-24 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-8515
CVE-2025-3614,ElementsKit Elementor Addons and Templates <= 3.5.2 - Authenticated (Contributor+) Stored Cross-Site Scripting via Custom Widget,Medium,2025-07-24 09:38:18,https://www.cve.org/CVERecord?id=CVE-2025-3614
CVE-2024-3064,"Elementor Addons, Widgets and Enhancements – Stax <= 1.4.4.1 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-04-04 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-3064
CVE-2024-24840,Element Pack Elementor Addons <= 5.4.11 - Missing Authorization via bdt_duplicate_as_draft,Medium,2024-02-02 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-24840
CVE-2024-56063,Essential Addons for Elementor <= 6.0.7 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-12-18 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-56063
CVE-2025-48131,UltraAddons Elementor Lite <= 2.0.0 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2025-05-16 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-48131
CVE-2025-8216,Sky Addons for Elementor <= 3.1.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via Multiple Widgets,Medium,2025-07-28 20:40:12,https://www.cve.org/CVERecord?id=CVE-2025-8216
CVE-2021-24891,Elementor Website Builder <= 3.4.7 - DOM-based Cross-Site Scripting,Medium,2021-03-23 00:00:00,https://www.cve.org/CVERecord?id=CVE-2021-24891
CVE-2024-4205,Premium Addons for Elementor <= 4.10.31 - Missing Authorization to Information Disclosure,Medium,2024-05-30 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-4205
CVE-2024-12597,HT Mega <= 2.7.6 - Authenticated (Contributor+) Stored Cross-Site Scripting via block_css and inner_css,Medium,2025-02-03 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-12597
CVE-2024-1239,ElementsKit Elementor addons <= 3.0.4 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-03-15 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1239
CVE-2025-53988,JetBlocks For Elementor <= 1.3.18 - Authenticated (Subscriber+) Information Disclsoure,Medium,2025-07-16 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-53988
CVE-2024-38705,ElementInvader Addons for Elementor <= 1.2.4 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-07-11 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-38705
CVE-2024-2666,Premium Addons for Elementor <= 4.10.24 - Authenticated (Contributor+) DOM-Based Stored Cross-Site Scripting,Medium,2024-04-09 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2666
CVE-2024-2091,Elementor Addon Elements <= 1.13.2 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-03-27 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-2091
CVE-2024-2455,Element Pack - Addon for Elementor Page Builder WordPress Plugin <= 7.9.0 - Authenticated(Contributor+) Stored Cross-Site Scripting via Wrapper Link URL,Medium,2024-07-31 16:46:28,https://www.cve.org/CVERecord?id=CVE-2024-2455
CVE-2025-5340,Music Player for Elementor <= 2.4.6 - Authenticated (Contributor+) Stored Cross-Site Scripting via album_buy_url Parameter,Medium,2025-06-02 22:20:46,https://www.cve.org/CVERecord?id=CVE-2025-5340
CVE-2024-5418,DethemeKit For Elementor <= 2.1.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via slitems Attribute,Medium,2024-05-30 14:31:51,https://www.cve.org/CVERecord?id=CVE-2024-5418
CVE-2022-45831,Image Hover Effects Plugin - Caption Hover with Carousel <= 2.8 - Unauthenticated Stored Cross Site Scripting,High,2023-02-02 00:00:00,https://www.cve.org/CVERecord?id=CVE-2022-45831
CVE-2024-12340,Animation Addons for Elementor <= 1.1.6 - Authenticated (Contributor+) Sensitive Information Exposure via Content Slider and Tabs Widget Elementor Template,Medium,2024-12-17 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-12340
CVE-2023-0694,Metform Elementor Contact Form Builder <= 3.3.1 - Authenticated (Subscriber+) Information Disclosure via mf shortcode,Medium,2023-06-08 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-0694
CVE-2024-5344,The Plus Addons for Elementor Page Builder <= 5.5.6 - Reflected Cross-Site Scripting via WP Login and Register Widget,Medium,2024-06-20 14:04:46,https://www.cve.org/CVERecord?id=CVE-2024-5344
CVE-2024-24833,Happy Addons for Elementor <= 3.10.1 - Missing Authorization via add_row_actions,Medium,2024-02-02 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-24833
CVE-2024-3718,"The Plus Addons for Elementor <= 5.5.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via Progress Bar, Header Meta Content, Scroll Navigation, Pricing Table, & Flip Box",Medium,2024-05-23 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-3718
CVE-2023-48750,Void Elementor Post Grid Addon for Elementor Page builder <= 2.1.10 - Missing Authorization to Review Notice Dismissal,Medium,2023-08-21 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-48750
CVE-2024-1234,Exclusive Addons for Elementor <= 2.6.9 - Authenticated (Contributor+) Stored Cross-Site Scripting,Medium,2024-02-29 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-1234
CVE-2024-38704,WordPress Team Manager <= 2.1.12 - Authenticated (Contributor+) Local File Inclusion,High,2024-07-11 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-38704
CVE-2025-22786,ElementInvader Addons for Elementor <= 1.2.6 - Authenticated (Contributor+) Local File Inclusion,High,2025-01-13 00:00:00,https://www.cve.org/CVERecord?id=CVE-2025-22786
CVE-2023-48762,Multiple Plugins by Crocoblock <= (Various Versions) - Cross-Site Request Forgery,Medium,2023-11-28 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-48762
CVE-2023-48762,Multiple Plugins by Crocoblock <= (Various Versions) - Cross-Site Request Forgery,Medium,2023-11-28 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-48762
CVE-2023-0695,Metform Elementor Contact Form Builder <= 3.3.0 - Authenticated (Contributor+) Stored Cross-Site Scripting via mf shortcode,Medium,2023-06-08 00:00:00,https://www.cve.org/CVERecord?id=CVE-2023-0695
CVE-2024-4003,"Essential Addons for Elementor – Best Elementor Templates, Widgets, Kits & WooCommerce Builders <= 5.9.15 - Authenticated (Contributor+) Stored Cross-Site Scripting",Medium,2024-04-24 00:00:00,https://www.cve.org/CVERecord?id=CVE-2024-4003
