"Tech","Date","CVE","Description"
"General","2025-08-15T17:15:34.887","CVE-2025-9060","A vulnerability has been found in the  MSoft MFlash   application that allows  execution of arbitrary code on the server. The issue occurs in the  integration configuration functionality that is only available to  MFlash    administrators. The vulnerability is related to insufficient validation  of parameters when setting up security components.  This issue affects MFlash v. 8.0 and possibly others. To mitigate apply 8.2-653 hotfix 11.06.2025 and above."
"General","2025-08-15T18:15:27.943","CVE-2025-55285","@backstage/plugin-scaffolder-backend is the backend for the default Backstage software templates. Prior to version 2.1.1  duplicate logging of the input values in the fetch:template action in the Scaffolder meant that some of the secrets were not properly redacted. If ${{ secrets.x }} is not passed through to fetch:template there is no impact. This issue has been resolved in 2.1.1 of the scaffolder-backend plugin. A workaround for this issue involves Template Authors removing the use of ${{ secrets }} being used as an argument to fetch:template."
"General","2025-08-15T19:15:33.183","CVE-2025-43490","A potential security vulnerability has been identified in the HPAudioAnalytics service included in the HP Hotkey Support software  which might allow escalation of privilege. HP is releasing software updates to mitigate the potential vulnerability."
"General","2025-08-15T20:15:27.563","CVE-2025-36088","IBM TS4500 1.11.0.0-D00  1.11.0.1-C00  1.11.0.2-C00  and 1.10.00-F00 web GUI is vulnerable to cross-site scripting. This vulnerability allows an authenticated user to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session."
"General","2025-08-15T21:15:29.270","CVE-2025-44201","Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none."
"General","2025-08-15T21:15:37.347","CVE-2025-8959","HashiCorp's go-getter library subdirectory download feature is vulnerable to symlink attacks leading to unauthorized read access beyond the designated directory boundaries. This vulnerability  identified as CVE-2025-8959  is fixed in go-getter 1.7.9."
"General","2025-08-15T22:15:31.930","CVE-2025-43201","This issue was addressed with improved checks. This issue is fixed in Apple Music Classical 2.3 for Android. An app may be able to unexpectedly leak a user's credentials."
"General","2025-08-15T23:15:26.120","CVE-2025-52618","HCL BigFix SaaS Authentication Service is affected by a SQL injection vulnerability.  The vulnerability allows potential attackers to manipulate SQL queries."
"General","2025-08-15T23:15:26.343","CVE-2025-52619","HCL BigFix SaaS Authentication Service is affected by a sensitive information disclosure.  Under certain conditions  error messages disclose sensitive version information about the underlying platform."
"General","2025-08-15T23:15:26.503","CVE-2025-52620","HCL BigFix SaaS Authentication Service is affected by a Cross-Site Scripting (XSS) vulnerability.  The image upload functionality inadequately validated the submitted image format."
"General","2025-08-15T23:15:26.670","CVE-2025-52621","HCL BigFix SaaS Authentication Service is vulnerable to cache poisoning.   The BigFix SaaS's HTTP responses were observed to include the Origin header. Its presence alongside an unvalidated reflection of the Origin header value introduces a potential for cache poisoning."
"General","2025-08-16T00:15:25.553","CVE-2017-20199","A vulnerability was found in Buttercup buttercup-browser-extension up to 0.14.2. Affected by this vulnerability is an unknown functionality. The manipulation leads to improper access controls. The attack can be launched remotely. The complexity of an attack is rather high. The exploitation appears to be difficult. The exploit has been disclosed to the public and may be used. Upgrading to version 1.0.1 is able to address this issue. The identifier of the patch is 89. It is recommended to upgrade the affected component. This vulnerability only affects products that are no longer supported by the maintainer."
"General","2025-08-16T01:15:27.567","CVE-2025-55286","z2d is a pure Zig 2D graphics library. z2d v0.7.0 released with a new multi-sample anti-aliasing (MSAA) method  which uses a new buffering mechanism for storing coverage data. This differs from the standard alpha mask surface used for the previous super-sample anti-aliasing (SSAA) method. Under certain circumstances where the path being drawn existed in whole or partly outside of the rendering surface  incorrect bounding could cause out-of-bounds access within the coverage buffer. This affects the higher-level drawing operations  such as Context.fill  Context.stroke  painter.fill  and painter.stroke  when either the .default or .multisample_4x anti-aliasing modes were used. .supersample_4x was not affected  nor was drawing without anti-aliasing. In non-safe optimization modes (consumers compiling with ReleaseFast or ReleaseSmall)  this could potentially lead to invalid memory accesses or corruption. z2d v0.7.1 fixes this issue  and it's recommended to upgrade to v0.7.1  or  given the small period of time v0.7.0 has been released  use v0.7.1 immediately  skipping v0.7.0."
"General","2025-08-16T02:15:24.637","CVE-2025-55284","Claude Code is an agentic coding tool. Prior to version 1.0.4  it's possible to bypass the Claude Code confirmation prompts to read a file and then send file contents over the network without user confirmation due to an overly broad allowlist of safe commands. Reliably exploiting this requires the ability to add untrusted content into a Claude Code context window. Users on standard Claude Code auto-update received this fix automatically after release. Current users of Claude Code are unaffected  as versions prior to 1.0.24 are deprecated and have been forced to update."
"General","2025-08-16T03:15:25.427","CVE-2024-12575","The Poll Maker – Versus Polls  Anonymous Polls  Image Polls plugin for WordPress is vulnerable to Basic Information Exposure in all versions up to  and including  5.8.9 via the 'ays_finish_poll' AJAX action. This makes it possible for unauthenticated attackers to retrieve admin email information which is exposed in the poll response."
"General","2025-08-16T03:15:25.677","CVE-2025-49895","Cross-Site Request Forgery (CSRF) vulnerability in iThemes ServerBuddy by PluginBuddy.Com allows Object Injection.This issue affects ServerBuddy by PluginBuddy.Com: from n/a through 1.0.5."
"General","2025-08-16T04:15:33.927","CVE-2024-12612","The School Management System for Wordpress plugin for WordPress is vulnerable to SQL Injection via several parameters across multiple AJAX action in all versions up to  and including  93.2.0 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query.  This makes it possible for unauthenticated attackers to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database."
"General","2025-08-16T04:15:49.763","CVE-2024-8393","The Woocommerce Blocks – Woolook plugin for WordPress is vulnerable to Local File Inclusion in all versions up to  and including  1.7.0 via the via the 'tab' parameter. This makes it possible for authenticated attackers  with Administrator-level access and above  to include and execute arbitrary files on the server  allowing the execution of any PHP code in those files. This can be used to bypass access controls  obtain sensitive data  or achieve code execution in cases where images and other “safe” file types can be uploaded and included. Please note that this can also be exploited via CSRF techniques."
