"keyword","vuln_id","cve","title","description","severity","cvss_score","published","cve_link","software_name","software_slug"
"elementor","02b4dd72-7e6a-4430-bd75-f9dd3d6b0bf1","CVE-2025-25101","Munk Sites <= 1.0.7 - Cross-Site Request Forgery to Arbitrary Plugin Installation","The Munk Sites plugin for WordPress is vulnerable to Cross-Site Request Forgery in versions up to  and including  1.0.7. This is due to missing or incorrect nonce validation on a function. This makes it possible for unauthenticated attackers to install arbitrary plugins via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.","Medium","4.3","2025-02-03 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-25101","Ready to use Gutenberg and Elementor Templates – Munk Sites","munk-sites"
"elementor","02ef976d-2240-4f1c-a313-9fe3130333f2","CVE-2025-52729","Diza <= 1.3.9 - Unauthenticated Local File Inclusion","The Diza theme for WordPress is vulnerable to Local File Inclusion in versions up to  and including  1.3.9. This makes it possible for unauthenticated attackers to include and execute arbitrary files on the server  allowing the execution of any PHP code in those files. This can be used to bypass access controls  obtain sensitive data  or achieve code execution in cases where images and other “safe” file types can be uploaded and included.","High","8.1","2025-07-01 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-52729","Diza - Pharmacy Store Elementor WooCommerce Theme","diza"
"elementor","02f957f6-2327-41e0-99f5-7a6893eeb614","CVE-2024-34575","DethemeKit For Elementor <= 2.1.2 - Authenticated (Contributor+) Stored Cross-Site Scripting","The DethemeKit For Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting in versions up to  and including  2.1.2 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-05-14 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-34575","DethemeKit for Elementor","dethemekit-for-elementor"
"elementor","03073726-58d0-45b3-b7a6-7d12dbede919","CVE-2024-0977","Timeline Widget For Elementor (Elementor Timeline  Vertical & Horizontal Timeline) <= 1.5.3 - Authenticated (Contributor+) Stored Cross-Site Scripting","The Timeline Widget For Elementor (Elementor Timeline  Vertical & Horizontal Timeline) plugin for WordPress is vulnerable to Stored Cross-Site Scripting via image URLs in the plugin's timeline widget in all versions up to  and including  1.5.3 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page  changes the slideshow type  and then changes it back to an image.","Medium","4.4","2024-02-06 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-0977","Timeline Widget For Elementor – Vertical & Horizontal Timeline","timeline-widget-addon-for-elementor"
"elementor","036cf299-80c2-48a8-befc-02899ab96e3c","CVE-2024-1055","PowerPack Addons for Elementor (Free Widgets  Extensions and Templates) <= 2.7.14 - Authenticated (Contributor+) Stored Cross-Site Scripting","The PowerPack Addons for Elementor (Free Widgets  Extensions and Templates) plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's buttons in all versions up to  and including  2.7.14 due to insufficient input sanitization and output escaping on user supplied URL values. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","5.4","2024-02-06 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-1055","PowerPack Elementor Addons (Free Widgets  Extensions and Templates)","powerpack-lite-for-elementor"
"elementor","039a9e3d-0e88-4eae-9537-58682aaf7b10","CVE-2024-54253","140+ Widgets | Xpro Addons For Elementor – FREE <= 1.4.6.5 - Authenticated (Contributor+) Stored Cross-Site Scripting","The 140+ Widgets | Xpro Addons For Elementor – FREE plugin for WordPress is vulnerable to Stored Cross-Site Scripting in all versions up to  and including  1.4.6.5 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with Contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-12-05 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-54253","140+ Widgets | Xpro Addons For Elementor – FREE","xpro-elementor-addons"
"elementor","03c0e3c8-9566-48ea-909f-08cdff422473","CVE-2024-13865","S3Player – WooCommerce & Elementor Integration <= 4.2.1 - Reflected Cross-Site Scripting","The S3Player – WooCommerce & Elementor Integration plugin for WordPress is vulnerable to Reflected Cross-Site Scripting in all versions up to  and including  4.2.1 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.","Medium","6.1","2024-12-26 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-13865","S3Player – WooCommerce & Elementor Integration","drm-protected-video-streaming"
"elementor","03fba6bb-ff30-42bb-936b-93c009a7e3f7","CVE-2024-3989","HT Mega – Absolute Addons For Elementor <= 2.5.0 - Authenticated (Contributor+) Stored Cross-Site Scripting via Gallery Justify","The HT Mega – Absolute Addons For Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's Gallery Justify Widget in all versions up to  and including  2.5.0 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-05-07 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-3989","HT Mega – Absolute Addons For Elementor","ht-mega-for-elementor"
"elementor","048e266f-5de5-4bcf-96ae-5c6ff969c5f7","CVE-2025-32158","aThemes Addons for Elementor <= 1.0.16 - Authenticated (Contributor+) Local File Inclusion","The aThemes Addons for Elementor plugin for WordPress is vulnerable to Local File Inclusion in versions up to  and including  1.0.16. This makes it possible for authenticated attackers  with contributor-level access and above  to include and execute arbitrary files on the server  allowing the execution of any PHP code in those files. This can be used to bypass access controls  obtain sensitive data  or achieve code execution in cases where images and other “safe” file types can be uploaded and included.","High","8.8","2025-04-04 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-32158","aThemes Addons for Elementor","athemes-addons-for-elementor-lite"
"elementor","04a46249-b5b2-4082-b520-cdc4a1370bb1","CVE-2022-1442","Metform Elementor Contact Form Builder <= 2.1.3 - Sensitive Information Disclosure","The Metform WordPress plugin is vulnerable to sensitive information disclosure due to improper access control in the ~/core/forms/action.php file which can be exploited by an unauthenticated attacker to view all API keys and secrets of integrated third-party APIs like that of PayPal  Stripe  Mailchimp  Hubspot  HelpScout  reCAPTCHA and many more  in versions up to and including 2.1.3.","High","7.5","2022-04-23 00:00:00","https://www.cve.org/CVERecord?id=CVE-2022-1442","MetForm – Contact Form  Survey  Quiz  & Custom Form Builder for Elementor","metform"
"elementor","050301c3-3236-43d2-9ecc-4469697d4c05","CVE-2024-38674","SKT Addons for Elementor <= 3.1 - Authenticated (Contributor+) Stored Cross-Site Scripting","The SKT Addons for Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting in versions up to  and including  3.1 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-07-10 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-38674","SKT Addons for Elementor","skt-addons-for-elementor"
"elementor","058d1aa0-2ef6-49a4-b978-43a91c8e55f3","CVE-2024-0448","Elementor Addons by Livemesh <= 8.3.1 - Authenticated (Contributor+) Stored Cross-Site Scripting","The Elementor Addons by Livemesh plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's widget URL parameters in all versions up to  and including  8.3.1 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers with contributor access or higher to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-01-25 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-0448","Elementor Addons by Livemesh","addons-for-elementor"
"elementor","05c7267e-2e0c-48e9-bdaa-c8bc0b9ec8a6","CVE-2024-9376","Kata Plus – Addons for Elementor – Widgets  Extensions and Templates <= 1.4.7 - Authenticated (Author+) Stored Cross-Site Scripting via SVG File Upload","The Kata Plus – Addons for Elementor – Widgets  Extensions and Templates plugin for WordPress is vulnerable to Stored Cross-Site Scripting via SVG File uploads in all versions up to  and including  1.4.7 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with Author-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses the SVG file.","Medium","6.4","2024-10-28 20:39:05","https://www.cve.org/CVERecord?id=CVE-2024-9376","Kata Plus – Addons for Elementor – Widgets  Extensions and Templates","kata-plus"
"elementor","05cd8f96-533a-4036-a01f-6ba1ad2d2b5e","CVE-2024-2129","WPBITS Addons For Elementor Page Builder <= 1.4 - Authenticated (Contributor+) Stored Cross-Site Scripting","The WPBITS Addons For Elementor Page Builder plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's heading widget in all versions up to  and including  1.4 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-03-19 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-2129","WPBITS Addons For Elementor Page Builder","wpbits-addons-for-elementor"
"elementor","05d26003-ae7e-480a-bd63-1c5f5e9c3cab","CVE-2024-29936","Image Hover Effects – Elementor Addon <= 1.4 - Authenticated (Contributor+) Stored Cross-Site Scripting via 'eihe_align'","The Image Hover Effects – Elementor Addon plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'eihe_align' parameter in versions up to  and including  1.4 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-03-25 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-29936","Image Hover Effects – Elementor Addon","image-hover-effects-addon-for-elementor"
"elementor","05f7d9fe-e95f-4ddf-9bce-2aeac3c2e946","CVE-2023-0084","Metform Elementor Contact Form Builder <= 3.1.2 - Unauthenticated Stored Cross-Site Scripting","The Metform Elementor Contact Form Builder plugin for WordPress is vulnerable to Stored Cross-Site Scripting via text areas on forms in versions up to  and including  3.1.2 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page  which is the submissions page.","High","7.2","2023-02-02 00:00:00","https://www.cve.org/CVERecord?id=CVE-2023-0084","MetForm – Contact Form  Survey  Quiz  & Custom Form Builder for Elementor","metform"
"elementor","061ada09-932f-4d2c-aa9e-c53f1d711c85","CVE-2024-4364","Qi Addons For Elementor <= 1.7.2 - Authenticated (Contributor+) Stored Cross-Site Scripting via Button Widget","The Qi Addons For Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's button widgets in all versions up to  and including  1.7.2 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-06-05 14:59:22","https://www.cve.org/CVERecord?id=CVE-2024-4364","Qi Addons For Elementor","qi-addons-for-elementor"
"elementor","063224fe-3cf8-40b6-8645-86c8e8dc876e","CVE-2024-29925","Post Grid  Slider & Carousel Ultimate <= 1.6.6 - Authenticated (Contributor+) Stored Cross-Site Scripting","The Post Grid  Slider & Carousel Ultimate plugin for WordPress is vulnerable to Stored Cross-Site Scripting in versions up to  and including  1.6.6 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-03-25 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-29925","Post Grid  Slider & Carousel Ultimate – with Shortcode  Gutenberg Block & Elementor Widget","post-grid-carousel-ultimate"
"elementor","0638c8f3-070a-4b42-ba58-396f3f259b9d","CVE-2024-5345","Responsive Owl Carousel for Elementor <= 1.2.0 - Local File Inclusion","The Responsive Owl Carousel for Elementor plugin for WordPress is vulnerable to Local File Inclusion in all versions up to  and including  1.2.0 via the layout parameter. This makes it possible for authenticated attackers  with Contributor-level access and above  to include and execute arbitrary files on the server  allowing the execution of any PHP code in those files. This can be used to bypass access controls  obtain sensitive data  or achieve code execution in cases where images and other “safe” file types can be uploaded and included. The inclusion is limited to PHP files.","High","8.8","2024-05-30 14:04:20","https://www.cve.org/CVERecord?id=CVE-2024-5345","Responsive Owl Carousel for Elementor","responsive-owl-carousel-elementor"
"elementor","067dde3a-f2d6-44c6-b64e-c8a850dd4d37","CVE-2024-10778","BuddyPress Builder for Elementor – BuddyBuilder <= 1.7.4 - Authenticated (Contributor+) Post Disclosure","The BuddyPress Builder for Elementor – BuddyBuilder plugin for WordPress is vulnerable to Information Exposure in all versions up to  and including  1.7.4 via the 'elementor-template' shortcode due to insufficient restrictions on which posts can be included. This makes it possible for authenticated attackers  with Contributor-level access and above  to extract data from private or draft posts crated by Elementor that they should not have access to.","Medium","4.3","2024-11-12 13:22:37","https://www.cve.org/CVERecord?id=CVE-2024-10778","BuddyPress Builder for Elementor – BuddyBuilder","stax-buddy-builder"
"elementor","0687e101-3c96-4c9b-941a-1b0fed2f76e2","CVE-2024-4486","Awesome Contact Form7 for Elementor <= 2.9 - Authenticated (Contributor+) Stored Cross-Site Scripting via AEP Contact Form 7 Widget","The Awesome Contact Form7 for Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'AEP Contact Form 7' widget in all versions up to  and including  2.9 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-05-22 12:55:26","https://www.cve.org/CVERecord?id=CVE-2024-4486","Awesome Contact Form7 for Elementor","awesome-contact-form7-for-elementor"
"elementor","06b31f3a-8516-427c-b819-7bcf2717705b","CVE-2024-49676","Custom Icons for Elementor <= 0.3.3 - Authenticated (Admin+) Arbitrary File Upload","The Custom Icons for Elementor plugin for WordPress is vulnerable to arbitrary file uploads due to missing file type validation in all versions up to  and including  0.3.3. This makes it possible for authenticated attackers  with Administrator-level access and above  to upload arbitrary files on the affected site's server which may make remote code execution possible.","High","7.2","2024-10-21 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-49676","Custom Icons for Elementor","custom-icons-for-elementor"
"elementor","06ef69f0-34d3-4389-8a81-a4d9922f1468","CVE-2023-6632","Happy Addons for Elementor <= 3.9.1.1 - Reflected Cross-Site Scripting","The Happy Addons for Elementor plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via DOM in all versions up to and including 3.9.1.1 (versions up to 2.9.1.1 in Happy Addons for Elementor Pro) due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.","Medium","6.1","2024-01-05 00:00:00","https://www.cve.org/CVERecord?id=CVE-2023-6632","Happy Addons for Elementor Pro","happy-elementor-addons-pro"
"elementor","06ef69f0-34d3-4389-8a81-a4d9922f1468","CVE-2023-6632","Happy Addons for Elementor <= 3.9.1.1 - Reflected Cross-Site Scripting","The Happy Addons for Elementor plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via DOM in all versions up to and including 3.9.1.1 (versions up to 2.9.1.1 in Happy Addons for Elementor Pro) due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.","Medium","6.1","2024-01-05 00:00:00","https://www.cve.org/CVERecord?id=CVE-2023-6632","Happy Addons for Elementor","happy-elementor-addons"
"elementor","0733261f-a2e1-4bd1-a57d-fdaaa8c904db","CVE-2025-3103","CLEVER - HTML5 Radio Player With History - Shoutcast and Icecast - Elementor Widget Addon <= 2.4 - Unauthenticated Arbitrary File Read","The CLEVER - HTML5 Radio Player With History - Shoutcast and Icecast - Elementor Widget Addon plugin for WordPress is vulnerable to arbitrary file read due to insufficient file path validation in the 'history.php' file in all versions up to  and including  2.4. This makes it possible for unauthenticated attackers to read arbitrary files on the affected site's server  which may contain sensitive information including database credentials. The vulnerability was partially patched in version 2.4.","High","7.5","2025-04-18 00:00:00","https://www.cve.org/CVERecord?id=CVE-2025-3103","CLEVER - HTML5 Radio Player With History - Shoutcast and Icecast - Elementor Widget Addon","elementor_widget_clever_radio_player"
"elementor","07712191-03b6-4de4-b0a4-e6f03ce9dc81","N/A","Restaurant & Cafe Addon for Elementor <= 1.5.2 - Missing Authorization","The Restaurant & Cafe Addon for Elementor plugin for WordPress is vulnerable to unauthorized modification of data due to missing capability checks on the rcafe_bw_settings_save_func()  rctl_bw_toggle_submit_func()  rcafe_uw_settings_save_func()  and rctl_uw_toggle_submit_func() functions all hooked via nopriv AJAX actions in all versions up to  and including  1.5.2. This makes it possible for unauthenticated attackers to modify the plugin's settings.","Medium","5.3","2023-11-14 00:00:00","","Restaurant & Cafe Addon for Elementor","restaurant-cafe-addon-for-elementor"
"elementor","0782046b-2475-4fda-be91-4866253bf1b7","CVE-2024-51870","Ultimate Flipbox Addon for Elementor  1.0.4 - Authenticated (Contributor+) Stored Cross-Site Scripting","The Ultimate Flipbox Addon for Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting in versions up to 1.0.4 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-11-08 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-51870","Flipbox Addon for Elementor","ultimate-flipbox-addon-for-elementor"
"elementor","07e7f03e-0d5d-4405-a0e7-9547fc762f0e","CVE-2024-2250","130+ Widgets | Best Addons For Elementor – FREE <= 1.4.2 - Authenticated (Contributor+) Stored Cross-Site Scripting","The 130+ Widgets | Best Addons For Elementor – FREE plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's widgets in all versions up to  and including  1.4.2 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-03-28 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-2250","140+ Widgets | Xpro Addons For Elementor – FREE","xpro-elementor-addons"
"elementor","08208cb1-2d57-49f9-8ac7-b59caa0cf5fa","CVE-2024-1366","Happy Addons for Elementor <= 3.10.3 - Authenticated (Contributor+) Stored Cross-Site Scripting via Archive Title Widget","The Happy Addons for Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the ‘archive_title_tag’ attribute of the Archive Title widget in all versions up to  and including  3.10.3 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-03-06 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-1366","Happy Addons for Elementor","happy-elementor-addons"
"elementor","0833e55f-22aa-44c9-aff6-1f3b74016e4c","CVE-2024-13808","Xpro Elementor Addons - Pro <= 1.4.9 - Authenticated (Contributor+) Remote Code Execution","The Xpro Elementor Addons - Pro plugin for WordPress is vulnerable to Remote Code Execution in all versions up to  and including  1.4.9 via the custom PHP widget. This is due to their only being client side controls when determining who can access the widget. This makes it possible for authenticated attackers  with Contributor-level access and above  to execute code on the server.","High","8.8","2025-04-25 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-13808","Xpro Elementor Addons - Pro","xpro-elementor-addons-pro"
"elementor","0968fe3b-2256-41e8-8cc9-e800dd7f8c27","CVE-2024-11583","Borderless – Widgets  Elements  Templates and Toolkit for Elementor & Gutenberg <= 1.5.9 - Missing Authorization to Icon Font Deletion","The Borderless – Widgets  Elements  Templates and Toolkit for Elementor & Gutenberg plugin for WordPress is vulnerable to unauthorized loss of data due to a missing capability check on the 'remove_zipped_font' function in all versions up to  and including  1.5.9. This makes it possible for authenticated attackers  with Subscriber-level access and above  to delete icon fonts that were previously uploaded.","Medium","4.3","2025-01-30 00:56:47","https://www.cve.org/CVERecord?id=CVE-2024-11583","Borderless – Elementor Addons and Templates","borderless"
"elementor","09f2cb22-07e2-4fe5-8c2a-9d4420ee26ed","CVE-2024-1507","Prime Slider – Addons For Elementor <= 3.13.3 - Authenticated (Contributor+) Stored Cross-Site Scripting via Rubix Widget","The Prime Slider – Addons For Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'title_tags' attribute of the Rubix widget in all versions up to  and including  3.13.3 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with contributor-level access and above  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.","Medium","6.4","2024-03-12 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-1507","Prime Slider – Addons For Elementor (Revolution of a slider  Hero Slider  Post Slider and Ecommerce Slider)","bdthemes-prime-slider-lite"
"elementor","09fb88e4-4846-40d3-8a79-a6a867bfb59f","CVE-2024-8910","HT Mega – Absolute Addons For Elementor <= 2.6.5 - Authenticated (Contributor+) Sensitive Information Exposure via template_id","The HT Mega – Absolute Addons For Elementor plugin for WordPress is vulnerable to Sensitive Information Exposure in all versions up to  and including  2.6.5 via the render function in includes/widgets/htmega_accordion.php. This makes it possible for authenticated attackers  with Contributor-level access and above  to extract sensitive private  pending  and draft template data.","Medium","4.3","2024-09-24 00:00:00","https://www.cve.org/CVERecord?id=CVE-2024-8910","HT Mega – Absolute Addons For Elementor","ht-mega-for-elementor"
