"Tech","Date","CVE","Description"
"General","2025-08-18T04:15:46.850","CVE-2025-9105","A vulnerability has been found in Portabilis i-Diario up to 1.5.0. The impacted element is an unknown function of the file /planos-de-ensino-por-areas-de-conhecimento/ of the component Informações Adicionais Page. Such manipulation of the argument Parecer/Conteúdos/Objetivos leads to cross site scripting. The attack can be executed remotely. The exploit has been disclosed to the public and may be used. The vendor was contacted early about this disclosure but did not respond in any way."
"General","2025-08-18T05:15:28.730","CVE-2025-9106","A vulnerability was found in Portabilis i-Diario up to 1.5.0. This affects an unknown function of the file /planos-de-ensino-por-disciplina/ of the component Informações Adicionais Page. Performing manipulation of the argument Parecer/Conteúdos/Objetivos results in cross site scripting. The attack is possible to be carried out remotely. The exploit has been made public and could be used. The vendor was contacted early about this disclosure but did not respond in any way."
"General","2025-08-18T05:15:29.780","CVE-2025-9107","A vulnerability was determined in Portabilis i-Diario up to 1.5.0. This impacts an unknown function of the file /alunos/search_autocomplete. Executing manipulation of the argument q can lead to cross site scripting. The attack may be performed from a remote location. The exploit has been publicly disclosed and may be utilized. The vendor was contacted early about this disclosure but did not respond in any way."
"General","2025-08-18T06:15:29.907","CVE-2025-9108","Affected is an unknown function of the component Login Page. The manipulation leads to improper restriction of rendered ui layers. It is possible to launch the attack remotely."
"General","2025-08-18T06:15:30.250","CVE-2025-9109","A security flaw has been discovered in Portabilis i-Diario up to 1.5.0. Affected by this vulnerability is an unknown functionality of the file /password/email of the component Password Recovery Endpoint. The manipulation results in observable response discrepancy. It is possible to launch the attack remotely. This attack is characterized by high complexity. The exploitation appears to be difficult. The exploit has been released to the public and may be exploited."
"General","2025-08-18T07:15:28.227","CVE-2025-57700","DIAEnergie - Stored Cross-site Scripting"
"General","2025-08-18T07:15:29.217","CVE-2025-57701","DIAEnergie - Reflected Cross-site Scripting"
"General","2025-08-18T07:15:29.447","CVE-2025-57702","DIAEnergie - Reflected Cross-site Scripting"
"General","2025-08-18T07:15:29.607","CVE-2025-57703","DIAEnergie - Reflected Cross-site Scripting"
"General","2025-08-18T07:15:29.763","CVE-2025-6625","CWE-20: Improper Input Validation vulnerability exists that could cause a Denial Of Service when specific crafted FTP command is sent to the device."
"General","2025-08-18T08:15:27.820","CVE-2025-5296","CWE-59: Improper Link Resolution Before File Access ('Link Following') vulnerability exists that could cause  arbitrary data to be written to protected locations  potentially leading to escalation of privilege  arbitrary file  corruption  exposure of application and system information or persistent denial of service when a low-privileged  attacker tampers with the installation folder."
"General","2025-08-18T09:15:28.637","CVE-2025-41242","Spring Framework MVC applications can be vulnerable to a “Path Traversal Vulnerability” when deployed on a non-compliant Servlet container.  An application can be vulnerable when all the following are true:    *  the application is deployed as a WAR or with an embedded Servlet container   *  the Servlet container  does not reject suspicious sequences https://jakarta.ee/specifications/servlet/6.1/jakarta-servlet-spec-6.1.html#uri-path-canonicalization    *  the application  serves static resources https://docs.spring.io/spring-framework/reference/web/webmvc/mvc-config/static-resources.html#page-title  with Spring resource handling   We have verified that applications deployed on Apache Tomcat or Eclipse Jetty are not vulnerable  as long as default security features are not disabled in the configuration. Because we cannot check exploits against all Servlet containers and configuration variants  we strongly recommend upgrading your application."
"General","2025-08-18T09:15:28.840","CVE-2025-47206","An out-of-bounds write vulnerability has been reported to affect File Station 5. If a remote attacker gains a user account  they can then exploit the vulnerability to modify or corrupt memory.  We have already fixed the vulnerability in the following version: File Station 5 5.5.6.4933 and later"
